"protein","feature","logFC","pvalue","adj.pvalue","contrast","organism","label","TlogFC"
"1225","sp|Q14694|UBP10_HUMAN","sp|Q14694|UBP10_HUMAN",-0.223,0.166243603061596,0.596,"conditionB-conditionA","HUMAN","0","0"
"1226","sp|Q9Y4E8|UBP15_HUMAN","sp|Q9Y4E8|UBP15_HUMAN",-0.144,0.166299942598282,0.596,"conditionB-conditionA","HUMAN","0","0"
"1227","sp|P42943|TCPH_YEAST","sp|P42943|TCPH_YEAST",-0.558,0.166710048293942,0.594,"conditionB-conditionA","YEAST","1","-1"
"1228","sp|Q9GZZ1|NAA50_HUMAN","sp|Q9GZZ1|NAA50_HUMAN",-0.326,0.166888109193266,0.597,"conditionB-conditionA","HUMAN","0","0"
"1229","sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN","sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN",-0.138,0.167086770291154,0.597,"conditionB-conditionA","HUMAN","0","0"
"1230","sp|Q9NY12|GAR1_HUMAN","sp|Q9NY12|GAR1_HUMAN",-0.164,0.168415900578851,0.598,"conditionB-conditionA","HUMAN","0","0"
"1231","sp|P45973|CBX5_HUMAN","sp|P45973|CBX5_HUMAN",-0.494,0.169000407445715,0.599,"conditionB-conditionA","HUMAN","0","0"
"1232","sp|P62851|RS25_HUMAN","sp|P62851|RS25_HUMAN",-0.133,0.169078626688814,0.599,"conditionB-conditionA","HUMAN","0","0"
"1233","sp|Q92879|CELF1_HUMAN","sp|Q92879|CELF1_HUMAN",-0.358,0.17043537592326,0.6,"conditionB-conditionA","HUMAN","0","0"
"1234","sp|Q9P287|BCCIP_HUMAN","sp|Q9P287|BCCIP_HUMAN",-0.208,0.17071702038627,0.6,"conditionB-conditionA","HUMAN","0","0"
"1235","sp|Q8NFH3|NUP43_HUMAN","sp|Q8NFH3|NUP43_HUMAN",-0.408,0.17107427991641,0.6,"conditionB-conditionA","HUMAN","0","0"
"1236","sp|P39077|TCPG_YEAST","sp|P39077|TCPG_YEAST",-0.646,0.171560248773616,0.593,"conditionB-conditionA","YEAST","1","-1"
"1237","sp|Q13257|MD2L1_HUMAN","sp|Q13257|MD2L1_HUMAN",0.447,0.17179755228038,0.597,"conditionB-conditionA","HUMAN","0","0"
"1238","sp|Q13085|ACACA_HUMAN","sp|Q13085|ACACA_HUMAN",0.257,0.173674752269474,0.602,"conditionB-conditionA","HUMAN","0","0"
"1239","sp|Q7Z2T5|TRM1L_HUMAN","sp|Q7Z2T5|TRM1L_HUMAN",-0.131,0.173984713358038,0.603,"conditionB-conditionA","HUMAN","0","0"
"1240","sp|Q02978|M2OM_HUMAN","sp|Q02978|M2OM_HUMAN",-0.352,0.17412592799826,0.595,"conditionB-conditionA","HUMAN","0","0"
"1241","sp|P23381|SYWC_HUMAN","sp|P23381|SYWC_HUMAN",-0.12,0.174207834999376,0.603,"conditionB-conditionA","HUMAN","0","0"
"1242","sp|P61956|SUMO2_HUMAN;sp|Q6EEV6|SUMO4_HUMAN","sp|P61956|SUMO2_HUMAN;sp|Q6EEV6|SUMO4_HUMAN",-0.187,0.174209872077016,0.603,"conditionB-conditionA","HUMAN","0","0"
"1243","sp|O60341|KDM1A_HUMAN","sp|O60341|KDM1A_HUMAN",-0.237,0.174614366414989,0.603,"conditionB-conditionA","HUMAN","0","0"
"1244","sp|Q9UBQ0|VPS29_HUMAN","sp|Q9UBQ0|VPS29_HUMAN",-0.24,0.17462618257241,0.603,"conditionB-conditionA","HUMAN","0","0"
"1245","sp|Q13435|SF3B2_HUMAN","sp|Q13435|SF3B2_HUMAN",-0.124,0.17540364316355,0.604,"conditionB-conditionA","HUMAN","0","0"
"1246","sp|Q9UHV9|PFD2_HUMAN","sp|Q9UHV9|PFD2_HUMAN",0.203,0.175550954067781,0.604,"conditionB-conditionA","HUMAN","0","0"
"1247","sp|Q9BSD7|NTPCR_HUMAN","sp|Q9BSD7|NTPCR_HUMAN",-0.459,0.175851171679612,0.604,"conditionB-conditionA","HUMAN","0","0"
"1248","sp|Q9BXK5|B2L13_HUMAN","sp|Q9BXK5|B2L13_HUMAN",-0.147,0.176304274624201,0.6,"conditionB-conditionA","HUMAN","0","0"
"1249","sp|P61769|B2MG_HUMAN","sp|P61769|B2MG_HUMAN",-0.299,0.176696447969464,0.601,"conditionB-conditionA","HUMAN","0","0"
"1250","sp|Q9NRX1|PNO1_HUMAN","sp|Q9NRX1|PNO1_HUMAN",0.387,0.177106088593802,0.604,"conditionB-conditionA","HUMAN","0","0"
"1251","sp|Q9BVI4|NOC4L_HUMAN","sp|Q9BVI4|NOC4L_HUMAN",-0.195,0.177418726767235,0.605,"conditionB-conditionA","HUMAN","0","0"
"1252","sp|P53985|MOT1_HUMAN","sp|P53985|MOT1_HUMAN",-0.219,0.177610367724057,0.601,"conditionB-conditionA","HUMAN","0","0"
"1253","sp|P83731|RL24_HUMAN","sp|P83731|RL24_HUMAN",-0.151,0.177713130365837,0.606,"conditionB-conditionA","HUMAN","0","0"
"1254","sp|Q96P11|NSUN5_HUMAN","sp|Q96P11|NSUN5_HUMAN",-0.348,0.178741923803475,0.606,"conditionB-conditionA","HUMAN","0","0"
"1255","sp|P38286|MKAR_YEAST","sp|P38286|MKAR_YEAST",-0.467,0.17935882730332,0.602,"conditionB-conditionA","YEAST","1","-1"
"1256","sp|P55196|AFAD_HUMAN","sp|P55196|AFAD_HUMAN",1.16,0.180617304612741,0.593,"conditionB-conditionA","HUMAN","0","0"
"1257","sp|P14735|IDE_HUMAN","sp|P14735|IDE_HUMAN",-0.364,0.181060333063668,0.608,"conditionB-conditionA","HUMAN","0","0"
"1258","sp|O95563|MPC2_HUMAN","sp|O95563|MPC2_HUMAN",-0.569,0.181791992667944,0.609,"conditionB-conditionA","HUMAN","0","0"
"1259","sp|P05423|RPC4_HUMAN","sp|P05423|RPC4_HUMAN",-0.299,0.18205425765822,0.599,"conditionB-conditionA","HUMAN","0","0"
"1260","sp|P62424|RL7A_HUMAN","sp|P62424|RL7A_HUMAN",-0.109,0.182363590136294,0.609,"conditionB-conditionA","HUMAN","0","0"
"1261","sp|P32322|P5CR1_HUMAN","sp|P32322|P5CR1_HUMAN",-0.38,0.182679349760978,0.609,"conditionB-conditionA","HUMAN","0","0"
"1262","sp|Q9UQ35|SRRM2_HUMAN","sp|Q9UQ35|SRRM2_HUMAN",-0.183,0.183480611708223,0.61,"conditionB-conditionA","HUMAN","0","0"
"1263","sp|Q9NQZ2|SAS10_HUMAN","sp|Q9NQZ2|SAS10_HUMAN",-0.135,0.183551290725063,0.61,"conditionB-conditionA","HUMAN","0","0"
"1264","sp|Q8NCW5|NNRE_HUMAN","sp|Q8NCW5|NNRE_HUMAN",0.554,0.184199455567965,0.61,"conditionB-conditionA","HUMAN","0","0"
"1265","sp|P08397|HEM3_HUMAN","sp|P08397|HEM3_HUMAN",-0.153,0.184525145333835,0.611,"conditionB-conditionA","HUMAN","0","0"
"1266","sp|P40227|TCPZ_HUMAN;sp|Q92526|TCPW_HUMAN","sp|P40227|TCPZ_HUMAN;sp|Q92526|TCPW_HUMAN",-0.117,0.184997096101249,0.611,"conditionB-conditionA","HUMAN","0","0"
"1267","sp|Q7L2H7|EIF3M_HUMAN","sp|Q7L2H7|EIF3M_HUMAN",-0.195,0.185287767490415,0.611,"conditionB-conditionA","HUMAN","0","0"
"1268","sp|Q6P1J9|CDC73_HUMAN","sp|Q6P1J9|CDC73_HUMAN",-0.446,0.185317166686917,0.609,"conditionB-conditionA","HUMAN","0","0"
"1269","sp|Q01658|NC2B_HUMAN","sp|Q01658|NC2B_HUMAN",-0.172,0.185588339777115,0.611,"conditionB-conditionA","HUMAN","0","0"
"1270","sp|Q9UMS4|PRP19_HUMAN","sp|Q9UMS4|PRP19_HUMAN",-0.122,0.185648472747868,0.611,"conditionB-conditionA","HUMAN","0","0"
"1271","sp|P31948|STIP1_HUMAN","sp|P31948|STIP1_HUMAN",-0.107,0.185874462540041,0.612,"conditionB-conditionA","HUMAN","0","0"
"1272","sp|Q86UK7|ZN598_HUMAN","sp|Q86UK7|ZN598_HUMAN",-0.216,0.186121293289393,0.61,"conditionB-conditionA","HUMAN","0","0"
"1273","sp|P49411|EFTU_HUMAN","sp|P49411|EFTU_HUMAN",-0.111,0.186788055731097,0.612,"conditionB-conditionA","HUMAN","0","0"
"1274","sp|Q8IUI8|CRLF3_HUMAN","sp|Q8IUI8|CRLF3_HUMAN",-0.187,0.186934951934287,0.61,"conditionB-conditionA","HUMAN","0","0"
"1275","sp|P38646|GRP75_HUMAN","sp|P38646|GRP75_HUMAN",-0.115,0.188924673245861,0.614,"conditionB-conditionA","HUMAN","0","0"
"1276","sp|P30260|CDC27_HUMAN","sp|P30260|CDC27_HUMAN",0.35,0.188960334372265,0.614,"conditionB-conditionA","HUMAN","0","0"
"1277","sp|P40008|FMP52_YEAST","sp|P40008|FMP52_YEAST",-0.181,0.189160281575809,0.611,"conditionB-conditionA","YEAST","1","-1"
"1278","sp|Q9Y376|CAB39_HUMAN","sp|Q9Y376|CAB39_HUMAN",-0.257,0.190075077331986,0.615,"conditionB-conditionA","HUMAN","0","0"
"1279","sp|Q70J99|UN13D_HUMAN","sp|Q70J99|UN13D_HUMAN",-0.258,0.190189559359216,0.615,"conditionB-conditionA","HUMAN","0","0"
"1280","sp|P49368|TCPG_HUMAN","sp|P49368|TCPG_HUMAN",-0.131,0.190541119903641,0.615,"conditionB-conditionA","HUMAN","0","0"
"1281","sp|Q99714|HCD2_HUMAN","sp|Q99714|HCD2_HUMAN",-0.172,0.190741390245415,0.615,"conditionB-conditionA","HUMAN","0","0"
"1282","sp|P62310|LSM3_HUMAN","sp|P62310|LSM3_HUMAN",-0.157,0.191278894699048,0.616,"conditionB-conditionA","HUMAN","0","0"
"1283","sp|O75531|BAF_HUMAN","sp|O75531|BAF_HUMAN",-0.161,0.191336548007061,0.616,"conditionB-conditionA","HUMAN","0","0"
"1284","sp|Q13838|DX39B_HUMAN","sp|Q13838|DX39B_HUMAN",-0.115,0.191425612621312,0.616,"conditionB-conditionA","HUMAN","0","0"
"1285","sp|Q969X6|UTP4_HUMAN","sp|Q969X6|UTP4_HUMAN",-0.283,0.191650662551131,0.616,"conditionB-conditionA","HUMAN","0","0"
"1286","sp|Q9BQ75|CMS1_HUMAN","sp|Q9BQ75|CMS1_HUMAN",1.18,0.191741831345477,0.577,"conditionB-conditionA","HUMAN","0","0"
"1287","sp|A6NDG6|PGP_HUMAN","sp|A6NDG6|PGP_HUMAN",0.25,0.191748722281854,0.616,"conditionB-conditionA","HUMAN","0","0"
"1288","sp|P23246|SFPQ_HUMAN","sp|P23246|SFPQ_HUMAN",-0.1,0.192284156440929,0.616,"conditionB-conditionA","HUMAN","0","0"
"1289","sp|P09669|COX6C_HUMAN","sp|P09669|COX6C_HUMAN",-0.535,0.192446914066437,0.616,"conditionB-conditionA","HUMAN","0","0"
"1290","sp|P63261|ACTG_HUMAN","sp|P63261|ACTG_HUMAN",-0.11,0.192936935397483,0.617,"conditionB-conditionA","HUMAN","0","0"
"1291","sp|Q02218|ODO1_HUMAN","sp|Q02218|ODO1_HUMAN",-0.482,0.193791923087693,0.617,"conditionB-conditionA","HUMAN","0","0"
"1292","sp|Q9BQG0|MBB1A_HUMAN","sp|Q9BQG0|MBB1A_HUMAN",-0.202,0.194051577340284,0.617,"conditionB-conditionA","HUMAN","0","0"
"1293","sp|P03905|NU4M_HUMAN","sp|P03905|NU4M_HUMAN",-0.268,0.194208706285728,0.613,"conditionB-conditionA","HUMAN","0","0"
"1294","sp|Q15370|ELOB_HUMAN","sp|Q15370|ELOB_HUMAN",-0.212,0.194680895259439,0.618,"conditionB-conditionA","HUMAN","0","0"
"1295","sp|P78344|IF4G2_HUMAN","sp|P78344|IF4G2_HUMAN",-0.195,0.195194779128754,0.618,"conditionB-conditionA","HUMAN","0","0"
"1296","sp|P60059|SC61G_HUMAN","sp|P60059|SC61G_HUMAN",-0.589,0.195528730378717,0.619,"conditionB-conditionA","HUMAN","0","0"
"1297","sp|O00566|MPP10_HUMAN","sp|O00566|MPP10_HUMAN",-0.223,0.195871773844415,0.619,"conditionB-conditionA","HUMAN","0","0"
"1298","sp|O75431|MTX2_HUMAN","sp|O75431|MTX2_HUMAN",-0.187,0.195927830125944,0.619,"conditionB-conditionA","HUMAN","0","0"
"1299","sp|Q0VDF9|HSP7E_HUMAN","sp|Q0VDF9|HSP7E_HUMAN",-0.229,0.196485897368527,0.619,"conditionB-conditionA","HUMAN","0","0"
"1300","sp|P20810|ICAL_HUMAN","sp|P20810|ICAL_HUMAN",-0.443,0.196849651811911,0.619,"conditionB-conditionA","HUMAN","0","0"
"1301","sp|Q8WVJ2|NUDC2_HUMAN","sp|Q8WVJ2|NUDC2_HUMAN",-0.258,0.197288198771434,0.62,"conditionB-conditionA","HUMAN","0","0"
"1302","sp|Q9H0W9|CK054_HUMAN","sp|Q9H0W9|CK054_HUMAN",-0.313,0.197789544074739,0.604,"conditionB-conditionA","HUMAN","0","0"
"1303","sp|Q96ER3|SAAL1_HUMAN","sp|Q96ER3|SAAL1_HUMAN",-0.736,0.198388137338061,0.614,"conditionB-conditionA","HUMAN","0","0"
"1304","sp|Q12769|NU160_HUMAN","sp|Q12769|NU160_HUMAN",-0.227,0.198938251067664,0.621,"conditionB-conditionA","HUMAN","0","0"
"1305","sp|Q9H0A0|NAT10_HUMAN","sp|Q9H0A0|NAT10_HUMAN",-0.199,0.199683621406101,0.621,"conditionB-conditionA","HUMAN","0","0"
"1306","sp|P08579|RU2B_HUMAN","sp|P08579|RU2B_HUMAN",0.356,0.199814860202694,0.621,"conditionB-conditionA","HUMAN","0","0"
"1307","sp|Q52LJ0|FA98B_HUMAN;sp|Q8NCA5|FA98A_HUMAN","sp|Q52LJ0|FA98B_HUMAN;sp|Q8NCA5|FA98A_HUMAN",-0.387,0.199943428262244,0.622,"conditionB-conditionA","HUMAN","0","0"
"1308","sp|P51991|ROA3_HUMAN","sp|P51991|ROA3_HUMAN",0.113,0.200191853927293,0.622,"conditionB-conditionA","HUMAN","0","0"
"1309","sp|Q9Y4L1|HYOU1_HUMAN;sp|Q9BXT5|TEX15_HUMAN","sp|Q9Y4L1|HYOU1_HUMAN;sp|Q9BXT5|TEX15_HUMAN",-0.182,0.200582612132261,0.622,"conditionB-conditionA","HUMAN","0","0"
"1310","sp|P46776|RL27A_HUMAN","sp|P46776|RL27A_HUMAN",-0.148,0.20124451308715,0.622,"conditionB-conditionA","HUMAN","0","0"
"1311","sp|Q9NZ45|CISD1_HUMAN","sp|Q9NZ45|CISD1_HUMAN",0.226,0.20140659375473,0.622,"conditionB-conditionA","HUMAN","0","0"
"1312","sp|P48047|ATPO_HUMAN","sp|P48047|ATPO_HUMAN",-0.105,0.201598024836261,0.623,"conditionB-conditionA","HUMAN","0","0"
"1313","sp|Q9UNQ2|DIM1_HUMAN","sp|Q9UNQ2|DIM1_HUMAN",-0.276,0.20242339346489,0.623,"conditionB-conditionA","HUMAN","0","0"
"1314","sp|Q96QK1|VPS35_HUMAN","sp|Q96QK1|VPS35_HUMAN",-0.143,0.202522799345054,0.623,"conditionB-conditionA","HUMAN","0","0"
"1315","sp|P60033|CD81_HUMAN","sp|P60033|CD81_HUMAN",0.41,0.202719908401532,0.619,"conditionB-conditionA","HUMAN","0","0"
"1316","sp|P42166|LAP2A_HUMAN","sp|P42166|LAP2A_HUMAN",-0.128,0.203005981295887,0.624,"conditionB-conditionA","HUMAN","0","0"
"1317","sp|Q6IAA8|LTOR1_HUMAN","sp|Q6IAA8|LTOR1_HUMAN",-0.28,0.203954960768066,0.623,"conditionB-conditionA","HUMAN","0","0"
"1318","sp|Q9Y3B8|ORN_HUMAN","sp|Q9Y3B8|ORN_HUMAN",-0.21,0.204091111166542,0.624,"conditionB-conditionA","HUMAN","0","0"
"1319","sp|Q13547|HDAC1_HUMAN;sp|O15379|HDAC3_HUMAN","sp|Q13547|HDAC1_HUMAN;sp|O15379|HDAC3_HUMAN",-0.179,0.204324393808669,0.624,"conditionB-conditionA","HUMAN","0","0"
"1320","sp|P06132|DCUP_HUMAN","sp|P06132|DCUP_HUMAN",-0.156,0.204385133442147,0.624,"conditionB-conditionA","HUMAN","0","0"
"1321","sp|P60228|EIF3E_HUMAN","sp|P60228|EIF3E_HUMAN",-0.121,0.205791037700149,0.625,"conditionB-conditionA","HUMAN","0","0"
"1322","sp|O95831|AIFM1_HUMAN","sp|O95831|AIFM1_HUMAN",-0.157,0.205868110968755,0.625,"conditionB-conditionA","HUMAN","0","0"
"1323","sp|Q14157|UBP2L_HUMAN","sp|Q14157|UBP2L_HUMAN",0.553,0.205869247838341,0.625,"conditionB-conditionA","HUMAN","0","0"
"1324","sp|P62701|RS4X_HUMAN;sp|P22090|RS4Y1_HUMAN;sp|Q8TD47|RS4Y2_HUMAN","sp|P62701|RS4X_HUMAN;sp|P22090|RS4Y1_HUMAN;sp|Q8TD47|RS4Y2_HUMAN",-0.1,0.206616568469359,0.626,"conditionB-conditionA","HUMAN","0","0"
"1325","sp|Q08379|GOGA2_HUMAN","sp|Q08379|GOGA2_HUMAN",-0.184,0.206784932667461,0.625,"conditionB-conditionA","HUMAN","0","0"
"1326","sp|P20700|LMNB1_HUMAN","sp|P20700|LMNB1_HUMAN",-0.11,0.207275321792245,0.626,"conditionB-conditionA","HUMAN","0","0"
"1327","sp|P55072|TERA_HUMAN","sp|P55072|TERA_HUMAN",-0.12,0.207487428463688,0.626,"conditionB-conditionA","HUMAN","0","0"
"1328","sp|P19387|RPB3_HUMAN","sp|P19387|RPB3_HUMAN",0.31,0.207497316368044,0.626,"conditionB-conditionA","HUMAN","0","0"
"1329","sp|Q02790|FKBP4_HUMAN","sp|Q02790|FKBP4_HUMAN",-0.118,0.207510718699628,0.626,"conditionB-conditionA","HUMAN","0","0"
"1330","sp|O43809|CPSF5_HUMAN","sp|O43809|CPSF5_HUMAN",-0.286,0.207564923305345,0.627,"conditionB-conditionA","HUMAN","0","0"
"1331","sp|P30740|ILEU_HUMAN","sp|P30740|ILEU_HUMAN",-0.477,0.207900369344302,0.627,"conditionB-conditionA","HUMAN","0","0"
"1332","sp|P16403|H12_HUMAN;sp|P10412|H14_HUMAN;sp|P16402|H13_HUMAN;sp|P22492|H1T_HUMAN;sp|Q02539|H11_HUMAN;sp|P16401|H15_HUMAN","sp|P16403|H12_HUMAN;sp|P10412|H14_HUMAN;sp|P16402|H13_HUMAN;sp|P22492|H1T_HUMAN;sp|Q02539|H11_HUMAN;sp|P16401|H15_HUMAN",0.144,0.208392003049824,0.627,"conditionB-conditionA","HUMAN","0","0"
"1333","sp|P26196|DDX6_HUMAN","sp|P26196|DDX6_HUMAN",-0.252,0.208393079724142,0.627,"conditionB-conditionA","HUMAN","0","0"
"1334","sp|P36015|YKT6_YEAST","sp|P36015|YKT6_YEAST",-0.693,0.2084169594117,0.627,"conditionB-conditionA","YEAST","1","-1"
"1335","sp|P53731|ARPC2_YEAST","sp|P53731|ARPC2_YEAST",-0.383,0.209097555774067,0.626,"conditionB-conditionA","YEAST","1","-1"
"1336","sp|P40939|ECHA_HUMAN","sp|P40939|ECHA_HUMAN",-0.124,0.2093597749196,0.628,"conditionB-conditionA","HUMAN","0","0"
"1337","sp|Q9UBX3|DIC_HUMAN","sp|Q9UBX3|DIC_HUMAN",-0.181,0.20938986815477,0.628,"conditionB-conditionA","HUMAN","0","0"
"1338","sp|Q9Y3E5|PTH2_HUMAN","sp|Q9Y3E5|PTH2_HUMAN",0.47,0.209510701637266,0.627,"conditionB-conditionA","HUMAN","0","0"
"1339","sp|Q96C90|PP14B_HUMAN","sp|Q96C90|PP14B_HUMAN",-0.208,0.209548159721465,0.626,"conditionB-conditionA","HUMAN","0","0"
"1340","sp|O15247|CLIC2_HUMAN","sp|O15247|CLIC2_HUMAN",-0.307,0.209752143048679,0.628,"conditionB-conditionA","HUMAN","0","0"
"1341","sp|P18846|ATF1_HUMAN;sp|P16220|CREB1_HUMAN","sp|P18846|ATF1_HUMAN;sp|P16220|CREB1_HUMAN",-0.556,0.21047692487368,0.594,"conditionB-conditionA","HUMAN","0","0"
"1342","sp|Q9H501|ESF1_HUMAN","sp|Q9H501|ESF1_HUMAN",0.197,0.210674771246084,0.627,"conditionB-conditionA","HUMAN","0","0"
"1343","sp|P53621|COPA_HUMAN","sp|P53621|COPA_HUMAN",-0.247,0.210675188432666,0.628,"conditionB-conditionA","HUMAN","0","0"
"1344","sp|Q9NXF1|TEX10_HUMAN","sp|Q9NXF1|TEX10_HUMAN",-0.0947,0.210780977887774,0.627,"conditionB-conditionA","HUMAN","0","0"
"1345","sp|Q9BQA1|MEP50_HUMAN","sp|Q9BQA1|MEP50_HUMAN",-0.195,0.211112122148317,0.629,"conditionB-conditionA","HUMAN","0","0"
"1346","sp|P13693|TCTP_HUMAN;sp|Q56UQ5|TPT1L_HUMAN;sp|Q9HAU6|TCTP8_HUMAN","sp|P13693|TCTP_HUMAN;sp|Q56UQ5|TPT1L_HUMAN;sp|Q9HAU6|TCTP8_HUMAN",0.145,0.211825726774346,0.629,"conditionB-conditionA","HUMAN","0","0"
"1347","sp|Q6UXN9|WDR82_HUMAN","sp|Q6UXN9|WDR82_HUMAN",-0.325,0.212031601925248,0.629,"conditionB-conditionA","HUMAN","0","0"
"1348","sp|O00139|KIF2A_HUMAN","sp|O00139|KIF2A_HUMAN",0.455,0.212284211604898,0.627,"conditionB-conditionA","HUMAN","0","0"
"1349","sp|P37235|HPCL1_HUMAN;sp|P84074|HPCA_HUMAN;sp|P61601|NCALD_HUMAN","sp|P37235|HPCL1_HUMAN;sp|P84074|HPCA_HUMAN;sp|P61601|NCALD_HUMAN",-0.345,0.212450421634039,0.628,"conditionB-conditionA","HUMAN","0","0"
"1350","sp|P50990|TCPQ_HUMAN","sp|P50990|TCPQ_HUMAN",-0.111,0.212749631736223,0.63,"conditionB-conditionA","HUMAN","0","0"
"1351","sp|Q92616|GCN1_HUMAN","sp|Q92616|GCN1_HUMAN",-0.14,0.213001553131054,0.63,"conditionB-conditionA","HUMAN","0","0"
"1352","sp|Q9NR30|DDX21_HUMAN","sp|Q9NR30|DDX21_HUMAN",-0.123,0.21318038117994,0.63,"conditionB-conditionA","HUMAN","0","0"
"1353","sp|P69905|HBA_HUMAN","sp|P69905|HBA_HUMAN",-0.138,0.213263952977957,0.63,"conditionB-conditionA","HUMAN","0","0"
"1354","sp|O15371|EIF3D_HUMAN","sp|O15371|EIF3D_HUMAN",-0.364,0.213280964042666,0.63,"conditionB-conditionA","HUMAN","0","0"
"1355","sp|P54886|P5CS_HUMAN","sp|P54886|P5CS_HUMAN",-0.411,0.213616091815996,0.63,"conditionB-conditionA","HUMAN","0","0"
"1356","sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN","sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN",-0.0991,0.213735043869741,0.63,"conditionB-conditionA","HUMAN","0","0"
"1357","sp|Q9UBB4|ATX10_HUMAN","sp|Q9UBB4|ATX10_HUMAN",-0.396,0.213940696184839,0.631,"conditionB-conditionA","HUMAN","0","0"
"1358","sp|P22570|ADRO_HUMAN","sp|P22570|ADRO_HUMAN",-0.705,0.21498114791588,0.627,"conditionB-conditionA","HUMAN","0","0"
"1359","sp|P22626|ROA2_HUMAN","sp|P22626|ROA2_HUMAN",-0.101,0.215164947436134,0.631,"conditionB-conditionA","HUMAN","0","0"
"1360","sp|P52294|IMA5_HUMAN","sp|P52294|IMA5_HUMAN",0.201,0.215245016801104,0.631,"conditionB-conditionA","HUMAN","0","0"
"1361","sp|P29144|TPP2_HUMAN","sp|P29144|TPP2_HUMAN",0.46,0.215349668482106,0.631,"conditionB-conditionA","HUMAN","0","0"
"1362","sp|P62750|RL23A_HUMAN","sp|P62750|RL23A_HUMAN",-0.13,0.215495977877145,0.632,"conditionB-conditionA","HUMAN","0","0"
"1363","sp|O15347|HMGB3_HUMAN","sp|O15347|HMGB3_HUMAN",0.337,0.217056608548309,0.629,"conditionB-conditionA","HUMAN","0","0"
"1364","sp|Q13868|EXOS2_HUMAN","sp|Q13868|EXOS2_HUMAN",-0.177,0.21776245775873,0.633,"conditionB-conditionA","HUMAN","0","0"
"1365","sp|P40926|MDHM_HUMAN","sp|P40926|MDHM_HUMAN",-0.0924,0.218491052323752,0.633,"conditionB-conditionA","HUMAN","0","0"
"1366","sp|P54725|RD23A_HUMAN","sp|P54725|RD23A_HUMAN",-0.158,0.219538335507767,0.633,"conditionB-conditionA","HUMAN","0","0"
"1367","sp|P52597|HNRPF_HUMAN","sp|P52597|HNRPF_HUMAN",-0.117,0.21963470134384,0.634,"conditionB-conditionA","HUMAN","0","0"
"1368","sp|P20290|BTF3_HUMAN","sp|P20290|BTF3_HUMAN",0.355,0.220536137332473,0.635,"conditionB-conditionA","HUMAN","0","0"
"1369","sp|Q15008|PSMD6_HUMAN","sp|Q15008|PSMD6_HUMAN",0.188,0.220756680218443,0.635,"conditionB-conditionA","HUMAN","0","0"
"1370","sp|Q06252|YL179_YEAST","sp|Q06252|YL179_YEAST",-0.935,0.221063268549135,0.628,"conditionB-conditionA","YEAST","1","-1"
"1371","sp|Q86XP3|DDX42_HUMAN","sp|Q86XP3|DDX42_HUMAN",-0.269,0.221106677002677,0.635,"conditionB-conditionA","HUMAN","0","0"
"1372","sp|Q96GX9|MTNB_HUMAN","sp|Q96GX9|MTNB_HUMAN",-0.328,0.221613572479785,0.633,"conditionB-conditionA","HUMAN","0","0"
"1373","sp|Q8WWC4|MAIP1_HUMAN","sp|Q8WWC4|MAIP1_HUMAN",-0.266,0.222764706443724,0.63,"conditionB-conditionA","HUMAN","0","0"
"1374","sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN;sp|P27482|CALL3_HUMAN","sp|P0DP25|CALM3_HUMAN;sp|P0DP24|CALM2_HUMAN;sp|P0DP23|CALM1_HUMAN;sp|P27482|CALL3_HUMAN",-0.161,0.223720633506774,0.636,"conditionB-conditionA","HUMAN","0","0"
"1375","sp|P46779|RL28_HUMAN","sp|P46779|RL28_HUMAN",0.168,0.224061709024849,0.637,"conditionB-conditionA","HUMAN","0","0"
"1376","sp|Q96GQ7|DDX27_HUMAN","sp|Q96GQ7|DDX27_HUMAN",0.27,0.224372436193026,0.637,"conditionB-conditionA","HUMAN","0","0"
"1377","sp|P61970|NTF2_HUMAN","sp|P61970|NTF2_HUMAN",-0.221,0.224476644431109,0.637,"conditionB-conditionA","HUMAN","0","0"
"1378","sp|P04083|ANXA1_HUMAN","sp|P04083|ANXA1_HUMAN",-0.106,0.225169238405785,0.637,"conditionB-conditionA","HUMAN","0","0"
"1379","sp|Q96C23|GALM_HUMAN","sp|Q96C23|GALM_HUMAN",0.325,0.225746479515733,0.637,"conditionB-conditionA","HUMAN","0","0"
"1380","sp|Q13451|FKBP5_HUMAN","sp|Q13451|FKBP5_HUMAN",0.164,0.225863341664052,0.638,"conditionB-conditionA","HUMAN","0","0"
"1381","sp|Q8NDC0|MISSL_HUMAN","sp|Q8NDC0|MISSL_HUMAN",-0.2,0.225944471068654,0.637,"conditionB-conditionA","HUMAN","0","0"
"1382","sp|Q9UHY1|NRBP_HUMAN","sp|Q9UHY1|NRBP_HUMAN",-0.356,0.225968080045988,0.637,"conditionB-conditionA","HUMAN","0","0"
"1383","sp|Q14181|DPOA2_HUMAN","sp|Q14181|DPOA2_HUMAN",-0.168,0.226135057769918,0.636,"conditionB-conditionA","HUMAN","0","0"
